type_i,type_j,sci,covariance,diagonal
0,90,37635.1015625,0.0012440580172359103,False
0,91,2773.105712890625,0.0008029517903364556,False
0,92,9343.19921875,0.0016778033036677186,False
0,93,0.0,0.00010792194425353475,False
0,94,33827.6875,0.001030911253383492,False
0,95,1215.056640625,0.0006372838038156937,False
0,96,12072.0859375,0.0017921462171729117,False
0,97,2937.537353515625,0.0027792617154497865,False
0,98,3261.50537109375,0.001375185608689164,False
0,99,52695.015625,0.0026242941240128817,False
1,1,4029297.25,0.004900000000000001,True
1,2,280588.75,0.0030533603168016628,False
1,3,1644.487060546875,0.0025354295990981505,False
1,4,4684.830078125,0.001748224731889573,False
1,5,3183.661376953125,0.00046124295825440253,False
1,6,2274.623046875,0.0018036677649192134,False
1,7,2747.43701171875,0.0006944704024830179,False
1,8,9895.193359375,0.002287950650372429,False
1,9,7245.19580078125,0.0023805581297900776,False
1,10,1341.2322998046875,0.002045591403545082,False
1,11,3022.227294921875,0.0027118851108834806,False
1,12,1738.85791015625,0.0006038634539838716,False
1,13,3069.636474609375,0.002076039929259743,False
1,14,6761.498046875,0.0014543557379558118,False
1,15,2844.290283203125,0.002380574852186127,False
1,16,1822.986572265625,0.0018675694815072279,False
1,17,1182.216552734375,0.002071366374248194,False
1,18,2818.61572265625,0.002143389738558091,False
1,19,3160.314453125,0.0007577778613193933,False
1,20,45578.40234375,0.0026054992224218824,False
1,21,3464.54541015625,0.0020539785676144183,False
1,22,2579.29833984375,0.0015995009731609674,False
1,23,1815.0216064453125,0.002168608113612156,False
1,24,7742.23486328125,0.0007278068333495271,False
1,25,2312.6591796875,-5.743511137329561e-06,False
1,26,1705.6923828125,0.00029562543112101534,False
1,27,1318.6514892578125,0.0007254937610479555,False
1,28,864196.625,0.0029080770621305024,False
1,29,15831.1298828125,0.0024884258614711833,False
1,30,2059.573974609375,0.0023642488498383496,False
1,31,2237.033447265625,0.0014254491752685682,False
1,32,1272.9580078125,0.00013923160211449777,False
1,33,233472.140625,0.0028927271734418463,False
1,34,2058.163818359375,0.0022072472168177654,False
1,35,2295.77001953125,0.0015671768656850443,False
1,36,1391.07177734375,0.001058189138096668,False
1,37,28818.943359375,0.002384768076201372,False
1,38,1579.4844970703125,0.002432059098976492,False
1,39,1273.335693359375,0.001137926318301585,False
1,40,3040.78466796875,0.0023602711744600178,False
1,41,3689.83935546875,0.0004394925740098252,False
1,42,1413.4718017578125,0.0005219577262545857,False
1,43,4758.5185546875,0.0008186123370290037,False
1,44,2053.13232421875,0.0015320831877222712,False
1,45,1360.048095703125,0.0025394060536926655,False
1,46,6819.56103515625,0.0023914865667060705,False
1,47,13146.9697265625,0.002512027192154427,False
1,48,5190.0908203125,0.001960928788073147,False
1,49,18510.181640625,0.0004935891071098594,False
1,50,2515.581787109375,0.001577141746610664,False
1,51,10268.7451171875,0.000498157478406325,False
1,52,4131.78857421875,0.0004131671963801268,False
1,53,4093.14501953125,0.001306713896874015,False
1,54,2851.41259765625,0.0006965147584713737,False
1,55,1870.232666015625,0.002033883123614461,False
1,56,2669.38037109375,0.0016646514218786642,False
1,57,2305.30322265625,0.0023125283889005505,False
1,58,7606.21875,0.0019387912895809324,False
1,59,3555.01904296875,0.0025921110500999175,False
1,60,1526.1590576171875,0.0007212930641616824,False
1,61,3853.75,0.001726600692579357,False
1,62,0.0,6.348221906548925e-05,False
1,63,3244.54541015625,-3.577738629692135e-06,False
1,64,504084.8125,0.002972741498100575,False
1,65,3277.3466796875,0.0023000453709194433,False
1,66,12533.130859375,0.0024769274808395365,False
1,67,3252.96826171875,0.00028191975223626817,False
1,68,14791.31640625,0.0016810638322799195,False
1,69,5398.14404296875,0.0006502648307111191,False
1,70,8336.361328125,0.0023120571762953665,False
1,71,4457.81298828125,0.002471644979673884,False
1,72,1987.61279296875,0.0018041372069618829,False
1,73,0.0,0.00019194471889254057,False
1,74,6248.8359375,0.0013918792745479037,False
1,75,1875.1590576171875,0.000589674076540235,False
1,76,5004.8505859375,0.002643323406592022,False
1,77,10445.3896484375,0.0019911335198464436,False
1,78,768.4658813476562,0.0006359796676965202,False
1,79,3611.3515625,0.0027636486091611925,False
1,80,1384.9090576171875,0.002417375565409968,False
1,81,850.6983642578125,0.0010894191342694062,False
1,82,2584.794921875,0.0004457682407031606,False
1,83,3307.41015625,0.0008892289699935322,False
1,84,136813.96875,0.00301007992777121,False
1,85,110395.4765625,0.0030435674127822854,False
1,86,6255.87255859375,0.00224914779562051,False
1,87,2219.152587890625,0.0004974088239309976,False
1,88,854.1439208984375,0.0022802445215557863,False
1,89,2462.520263671875,0.0023418744725138083,False
1,90,6994.837890625,0.0018661296167469272,False
1,91,5423.84912109375,0.0009867967040625943,False
1,92,134478.46875,0.0030576575672152826,False
1,93,0.0,0.00013611230730318878,False
1,94,6508.13623046875,0.0017093508566375603,False
1,95,2966.688720703125,0.0006314965192411524,False
1,96,54841.15234375,0.0030436984285209653,False
1,97,1813.6385498046875,0.002119497679280746,False
1,98,2374.634033203125,0.000818640953881864,False
1,99,1614.3282470703125,0.002051349559609557,False
2,2,4499490.0,0.004900000000000001,True
2,3,1524.153076171875,0.0024929108566322344,False
2,4,7581.54150390625,0.001643366945933151,False
2,5,4359.09619140625,0.00040159059862015416,False
2,6,3721.927978515625,0.0016922006344542498,False
2,7,1726.7216796875,0.0005932172568532404,False
2,8,20484.990234375,0.0022737686281595797,False
2,9,11614.4873046875,0.0023159567594103246,False
2,10,1998.82568359375,0.0018736858748705538,False
2,11,8630.041015625,0.0027368992828281035,False
2,12,1964.488037109375,0.0005747754859326708,False
2,13,5876.064453125,0.0020874950951491247,False
2,14,8099.41748046875,0.0014552867659943327,False
2,15,6801.1748046875,0.0023179579093063315,False
2,16,3321.791259765625,0.001761586076345932,False
2,17,904.861572265625,0.0018800868686224507,False
2,18,3360.68359375,0.002212220398869993,False
2,19,2531.90234375,0.0006864267025280915,False
2,20,15668.30078125,0.0025340129731999225,False
2,21,3801.052734375,0.0019928164116958724,False
2,22,3220.106201171875,0.001607865548001666,False
2,23,7498.80517578125,0.002023064585488672,False
2,24,54416.61328125,0.0005903853220437518,False
2,25,2315.220703125,6.491337158448111e-06,False
2,26,2307.753662109375,0.00025419246293751014,False
2,27,1311.2034912109375,0.0008016393268628762,False
2,28,509084.71875,0.0028823815853613066,False
2,29,44362.1953125,0.002561518402460337,False
2,30,1957.5821533203125,0.0023887688599460526,False
2,31,2237.89697265625,0.001458809873636703,False
2,32,1133.312255859375,3.732597861766904e-05,False
2,33,28303.578125,0.0028919147775766114,False
2,34,2064.449951171875,0.002202345191452097,False
2,35,3156.861572265625,0.0015722063179959226,False
2,36,1301.3011474609375,0.0010964212566581903,False
2,37,102257.703125,0.0023332587646608736,False
2,38,1784.282958984375,0.00232229769086514,False
2,39,1088.79296875,0.001134126928091589,False
2,40,2741.68408203125,0.002262182438955674,False
2,41,4637.85498046875,0.00039116904624219006,False
2,42,1324.03076171875,0.0005585320527826646,False
2,43,19866.384765625,0.0007312564205768584,False
2,44,2080.987548828125,0.00147718523848906,False
2,45,1608.831298828125,0.002431538921154765,False
2,46,16854.82421875,0.0022795031522315832,False
2,47,83005.6640625,0.002585707923761987,False
2,48,4282.6513671875,0.0018946219509045348,False
2,49,25742.42578125,0.00037494093456125785,False
2,50,2010.88525390625,0.0015958497517795265,False
2,51,11494.40625,0.00037010348145603573,False
2,52,3085.05712890625,0.0003241046870602706,False
2,53,21185.982421875,0.0012494212678578484,False
2,54,6667.57275390625,0.0006002321815222392,False
2,55,2393.92041015625,0.0019479855358251249,False
2,56,2631.84521484375,0.0016539921139608865,False
2,57,2188.33642578125,0.0023476733206906422,False
2,58,6993.935546875,0.0018656653229792803,False
2,59,11435.9951171875,0.002616957011825572,False
2,60,1595.280029296875,0.0007857936883461376,False
2,61,4215.390625,0.0018407135286281969,False
2,62,0.0,1.4331958090260145e-05,False
2,63,2944.088134765625,-4.292728340446692e-07,False
2,64,155019.765625,0.0029490779286037577,False
2,65,11359.6826171875,0.002340982887933473,False
2,66,6707.2880859375,0.0023987086002404145,False
2,67,3757.702880859375,0.0002182802969941098,False
2,68,15413.2548828125,0.0015602919178061138,False
2,69,22411.302734375,0.0006035186048276055,False
2,70,7946.634765625,0.0022912057774669525,False
2,71,6063.89990234375,0.0023906671108751393,False
2,72,1787.4315185546875,0.001701534780287649,False
2,73,0.0,0.00012832088436598067,False
2,74,7709.4345703125,0.0014244141341376937,False
